Time,Load
(sec),(N)
84.2,122.82007
84.29999,123.13658
84.4,123.45694
84.5,123.82453
84.6,124.15097
84.7,124.4875
84.79999,124.82376
84.9,125.1232
85,125.48412
85.1,125.8008
85.2,126.18214
85.29999,126.53908
85.3778,126.75671
85.4,126.87202
85.5,127.22303
85.6,127.51721
85.7,127.93203
85.79999,128.20402
85.9,128.62159
86,128.93423
86.1,129.26114
86.2,129.59698
86.29999,129.89475
86.4,130.28918
86.5,130.56974
86.6,130.96936
86.7,131.25993
86.79999,131.6552
86.8378,131.74376
86.9,131.95986
87,132.27813
87.1,132.6593
87.2,132.7831
87.29999,132.93526
87.4,132.92806
87.5,132.97716
87.6,132.91116
87.7,132.86845
87.79999,132.80599
87.9,132.65622
88,132.54321
88.1,132.34481
88.2,132.18267
88.29999,131.96464
88.4,131.71209
88.5,131.45868
88.6,131.17425
88.7,130.90213
88.79999,130.58478
88.9,130.24126
89,129.92637
89.1,129.5663
89.2,129.2368
89.29999,128.84381
89.4,128.49665
89.5,128.12655
89.6,127.72006
89.6748,127.50466
89.7,127.38337
89.79999,126.97242
89.9,126.60177
90,126.13997
90.1,125.82883
90.2,125.39525
90.29999,124.98738
90.4,124.62316
90.5,124.18619
90.6,123.83527
90.7,123.35595
90.79999,123.04197
90.8858,122.68924
90.89999,122.58645
91,122.20515
91.1,121.81429
91.2,121.40271
91.29999,121.03146
91.39999,120.56509
91.5,120.22939
91.6,119.77864
91.7,119.44156
91.79999,119.01776
91.89999,118.64853
92,118.25635
92.1,117.84824
92.2,117.48191
92.2038,117.46493
92.29999,117.07342
92.39999,116.7369
92.5,116.30569
92.6,115.96432
92.7,115.58257
92.79999,115.1944
92.89999,114.84899
93,114.44589
93.1,114.08737
93.2,113.71176
93.29999,113.33822
93.39999,112.95118
93.5,112.52751
93.5668,112.29601
93.6,112.15056
93.7,111.76869
93.79999,111.34163
93.89999,110.96966
94,110.586
94.1,110.23566
94.2,109.79857
94.29999,109.46538
94.39999,109.08228
94.5,108.69756
94.6,108.34417
94.7,107.96393
94.79999,107.65532
94.8318,107.52859
94.89999,107.2327
95,106.85889
95.1,106.49791
95.2,106.15131
95.29999,105.79842
95.39999,105.44379
95.5,105.13187
95.6,104.72504
95.7,104.40288
95.79999,104.02492
95.89999,103.69178
96,103.35433
96.1,102.97266
96.2,102.66811
96.2858,102.38986
96.29999,102.30865
96.39999,101.97049
96.5,101.58914
96.6,101.28948
96.7,100.93255
96.79999,100.60196
96.89999,100.28142
97,99.94019
97.1,99.60952
97.2,99.23574
97.29999,98.96223
97.39999,98.58406
97.5,98.21014
97.6,97.89591
97.7,97.53225
97.7718,97.29713
97.79999,97.17355
97.89999,96.81555
98,96.48713
98.1,96.14085
98.2,95.77571
98.29999,95.44256
98.39999,95.09639
98.5,94.78287
98.6,94.40472
98.7,94.06347
98.79999,93.7471
98.89999,93.37497
99,93.05217
99.1,92.68907
99.2,92.39224
99.2228,92.31605
99.29999,91.96186
99.39999,91.56212
99.5,91.25886
99.6,90.87909
99.7,90.56999
99.79999,90.23248
99.89999,89.96237
100,89.56734
100.1,89.27217
