Time,Load,Cycle
65.2,59.6177,1
65.3,59.90906999999999,1
65.4,60.19686,1
65.5,60.48635,1
65.6,60.8056,1
65.7,61.098490000000005,1
65.79999000000001,61.40073,1
65.9,61.67108,1
66.0,61.962419999999995,1
66.0118,61.991409999999995,1
66.1,62.26061,1
66.2,62.54683000000001,1
66.29999000000001,62.84819,1
66.4,63.14986999999999,1
66.5,63.45227,1
66.6,63.74865,1
66.7,64.04324,1
66.79999000000001,64.3639,1
66.9,64.64752,1
67.0,64.95187,1
67.1,65.23515,1
67.2,65.56304,1
67.29999000000001,65.85821999999999,1
67.4,66.13189,1
67.5,66.46457,1
67.6,66.74108000000001,1
67.6568,66.94379,1
67.7,67.08106,1
67.79999000000001,67.36872,1
67.9,67.70305,1
68.0,68.00667,1
68.1,68.2918,1
68.2,68.62176,1
68.29999000000001,68.89582,1
68.4,69.22986,1
68.5,69.51835,1
68.6,69.85511,1
68.7,70.14976,1
68.79999000000001,70.44917,1
68.9,70.77794,1
69.0,71.06376,1
69.1,71.39979,1
69.2,71.69104,1
69.2578,71.87515,1
69.29999000000001,72.03591999999999,1
69.4,72.32627,1
69.5,72.66859000000001,1
69.6,72.96298,1
69.7,73.28081,1
69.79999000000001,73.61328,1
69.9,73.92115,1
70.0,74.24821999999999,1
70.1,74.5624,1
70.2,74.90435,1
70.29999000000001,75.22855,1
70.4,75.53895,1
70.5,75.87456,1
70.6,76.1967,1
70.7,76.52665,1
70.79999000000001,76.86237,1
70.8528,77.02814000000001,1
70.9,77.18629,1
71.0,77.52472,1
71.1,77.86176999999999,1
71.2,78.1702,1
71.29999000000001,78.5012,1
71.4,78.82833000000001,1
71.5,79.18526999999999,1
71.6,79.50912,1
71.7,79.86052,1
71.79999000000001,80.15616999999999,1
71.9,80.53327,1
72.0,80.83849000000001,1
72.1,81.17867,1
72.2,81.54019,1
72.29999000000001,81.87023,1
72.3058,81.89008000000001,1
72.4,82.22138000000001,1
72.5,82.53514,1
72.6,82.89865,1
72.7,83.20707,1
72.79999000000001,83.56421999999999,1
72.9,83.89782,1
73.0,84.24432,1
73.1,84.60148000000001,1
73.2,84.92931999999999,1
73.29999000000001,85.30254000000001,1
73.4,85.60701,1
73.5,85.98226,1
73.6,86.3561,1
73.7,86.71732,1
73.7628,86.92288,1
73.79999000000001,87.04777,1
73.9,87.37196,1
74.0,87.74868000000001,1
74.1,88.06784,1
74.2,88.45352,1
74.29999000000001,88.81365,1
74.4,89.18305,1
74.5,89.53027,1
74.6,89.87214,1
74.7,90.25771999999999,1
74.79999000000001,90.60528000000001,1
74.9,90.99901,1
75.0,91.36783,1
75.1,91.72279,1
75.1388,91.88595,1
75.2,92.24217,1
75.29999000000001,92.58287,1
75.4,92.96291,1
75.5,93.34378000000001,1
75.6,93.7077,1
75.7,94.08148,1
75.79999000000001,94.4742,1
75.9,94.87304,1
76.0,95.23149000000001,1
76.1,95.63109,1
76.2,96.02363000000001,1
76.29999000000001,96.38351999999999,1
76.4,96.79469,1
76.4448,96.95557,1
76.5,97.17911,1
76.6,97.60463,1
76.7,97.98065,1
76.79999000000001,98.38327,1
76.9,98.7741,1
77.0,99.14627,1
77.1,99.54894,1
77.2,99.92551,1
77.29999000000001,100.35764,1
77.4,100.72327,1
77.5,101.14841,1
77.6,101.50152,1
77.7,101.89788,1
77.7088,101.91114,1
77.79999000000001,102.30712,1
77.9,102.73491999999999,1
78.0,103.14022,1
78.1,103.52496,1
78.2,103.94359,1
78.29999000000001,104.34309,1
78.4,104.77342,1
78.5,105.16793,1
78.6,105.56691000000001,1
78.7,105.98522,1
78.79999000000001,106.38543999999999,1
78.9,106.80017,1
78.9428,106.96242,1
79.0,107.1982,1
79.1,107.65541999999999,1
79.2,107.93198000000001,1
79.29999000000001,108.23306000000001,1
79.4,108.53318,1
79.5,108.79785,1
79.6,109.09128,1
79.7,109.35756,1
79.79999000000001,109.65472,1
79.9,109.93338,1
80.0,110.19865,1
80.1,110.53088000000001,1
80.2,110.81346,1
80.29999000000001,111.0823,1
80.4,111.37725,1
80.5,111.66611999999999,1
80.5628,111.84003999999999,1
80.6,111.96864,1
80.7,112.25778999999999,1
80.79999000000001,112.58981000000001,1
80.9,112.84749,1
81.0,113.16855,1
81.1,113.4294,1
81.2,113.71834,1
81.29999000000001,114.055,1
81.4,114.30363,1
81.5,114.6298,1
81.6,114.89581000000001,1
81.7,115.24519,1
81.79999000000001,115.50908999999999,1
81.9,115.81358999999999,1
82.0,116.12031999999999,1
82.1,116.40073000000001,1
82.2,116.77985,1
82.2168,116.77736999999999,1
82.29999000000001,117.05858,1
82.4,117.39045,1
82.5,117.63001000000001,1
82.6,117.97313999999999,1
82.7,118.26598999999999,1
82.79999000000001,118.5774,1
82.9,118.90857,1
83.0,119.16776999999999,1
83.1,119.52972,1
83.2,119.78693,1
83.29999000000001,120.13161000000001,1
83.4,120.39793999999999,1
83.5,120.73123999999999,1
83.6,121.01708,1
83.7,121.30917,1
83.79999000000001,121.64593,1
83.9,121.92889,1
83.9038,121.94516999999999,1
84.0,122.23382,1
84.1,122.53173999999999,1
84.2,122.82007,1
84.29999000000001,123.13658000000001,1
84.4,123.45693999999999,1
84.5,123.82453000000001,1
84.6,124.15097,1
84.7,124.4875,1
84.79999000000001,124.82376000000001,1
84.9,125.1232,1
85.0,125.48411999999999,1
85.1,125.8008,1
85.2,126.18213999999999,1
85.29999000000001,126.53908,1
85.3778,126.75671000000001,1
85.4,126.87201999999999,1
85.5,127.22303000000001,1
85.6,127.51721,1
85.7,127.93203000000001,1
85.79999000000001,128.20401999999999,1
85.9,128.62159,1
86.0,128.93423,1
86.1,129.26113999999998,1
86.2,129.59698,1
86.29999000000001,129.89475,1
86.4,130.28918000000002,1
86.5,130.56974,1
86.6,130.96936000000002,1
86.7,131.25993,1
86.79999000000001,131.6552,1
86.8378,131.74376,1
86.9,131.95986000000002,1
87.0,132.27813,1
87.1,132.6593,1
87.2,132.7831,1
87.29999000000001,132.93526,1
87.4,132.92806000000002,1
87.5,132.97716,1
87.6,132.91116,1
87.7,132.86845,1
87.79999000000001,132.80598999999998,1
87.9,132.65622,1
88.0,132.54321000000002,1
88.1,132.34481,1
88.2,132.18267,1
88.29999000000001,131.96464,1
88.4,131.71209,1
88.5,131.45868000000002,1
88.6,131.17425,1
88.7,130.90213,1
88.79999000000001,130.58478,1
88.9,130.24126,1
89.0,129.92637,1
89.1,129.5663,1
89.2,129.2368,1
89.29999000000001,128.84381000000002,1
89.4,128.49665,1
89.5,128.12655,1
89.6,127.72006,1
89.6748,127.50466000000002,1
89.7,127.38337,1
89.79999000000001,126.97242,1
89.9,126.60177,1
90.0,126.13996999999999,1
90.1,125.82883000000001,1
90.2,125.39525,1
90.29999000000001,124.98738,1
90.4,124.62316000000001,1
90.5,124.18619,1
90.6,123.83527,1
90.7,123.35595,1
90.79999000000001,123.04196999999999,1
90.8858,122.68923999999998,1
90.89999,122.58645,1
91.0,122.20515,1
91.1,121.81428999999999,1
91.2,121.40271000000001,1
91.29999000000001,121.03146000000001,1
91.39999,120.56508999999998,1
91.5,120.22939,1
91.6,119.77864,1
91.7,119.44156000000001,1
91.79999000000001,119.01776000000001,1
91.89999,118.64853000000001,1
92.0,118.25635,1
92.1,117.84823999999999,1
92.2,117.48191000000001,1
92.2038,117.46493000000001,1
92.29999000000001,117.07342,1
92.39999,116.7369,1
92.5,116.30568999999998,1
92.6,115.96432,1
92.7,115.58256999999999,1
92.79999000000001,115.1944,1
92.89999,114.84898999999999,1
93.0,114.44588999999999,1
93.1,114.08736999999999,1
93.2,113.71176000000001,1
93.29999000000001,113.33821999999999,1
93.39999,112.95118000000001,1
93.5,112.52751,1
93.5668,112.29601000000001,1
93.6,112.15056000000001,1
93.7,111.76868999999999,1
93.79999000000001,111.34163000000001,1
93.89999,110.96966,1
94.0,110.586,1
94.1,110.23566000000001,1
94.2,109.79857,1
94.29999000000001,109.46538000000001,1
94.39999,109.08228000000001,1
94.5,108.69756000000001,1
94.6,108.34416999999999,1
94.7,107.96393,1
94.79999000000001,107.65531999999999,1
94.8318,107.52859,1
94.89999,107.2327,1
95.0,106.85888999999999,1
95.1,106.49791,1
95.2,106.15131000000001,1
95.29999000000001,105.79842,1
95.39999,105.44378999999999,1
95.5,105.13186999999999,1
95.6,104.72504,1
95.7,104.40288000000001,1
95.79999000000001,104.02492,1
95.89999,103.69178000000001,1
96.0,103.35433,1
96.1,102.97266,1
96.2,102.66811,1
96.2858,102.38986,1
96.29999000000001,102.30865,1
96.39999,101.97049,1
96.5,101.58914,1
96.6,101.28948000000001,1
96.7,100.93255,1
96.79999000000001,100.60195999999999,1
96.89999,100.28142,1
97.0,99.94019,1
97.1,99.60951999999999,1
97.2,99.23574,1
97.29999000000001,98.96223,1
97.39999,98.58406,1
97.5,98.21014,1
97.6,97.89591,1
97.7,97.53225,1
97.7718,97.29713000000001,1
97.79999000000001,97.17355,1
97.89999,96.81555,1
98.0,96.48713000000001,1
98.1,96.14085,1
98.2,95.77571,1
98.29999000000001,95.44256,1
98.39999,95.09639,1
98.5,94.78286999999999,1
98.6,94.40472,1
98.7,94.06347,1
98.79999000000001,93.7471,1
98.89999,93.37496999999999,1
99.0,93.05216999999999,1
99.1,92.68907,1
99.2,92.39224,1
99.2228,92.31605,1
99.29999000000001,91.96186,1
99.39999,91.56212,1
99.5,91.25886,1
99.6,90.87909,1
99.7,90.56999,1
99.79999000000001,90.23248000000001,1
99.89999,89.96236999999999,1
100.0,89.56734,1
100.1,89.27216999999999,1
100.2,88.94125,1
100.29999000000001,88.60905,1
100.39999,88.29816,1
100.5,87.95319,1
100.6,87.67036,1
100.7,87.34597,1
100.7128,87.3266,1
100.79999000000001,87.02277,1
100.89999,86.72298,1
101.0,86.42299,1
101.1,86.12116,1
101.2,85.79149,1
101.29999000000001,85.52109,1
101.39999,85.21717,1
101.5,84.90021,1
101.6,84.58964,1
101.7,84.32095,1
101.79999000000001,83.9917,1
101.89999,83.66816999999999,1
102.0,83.38685,1
102.1,83.10792,1
102.2,82.80416,1
102.29999000000001,82.49168,1
102.3868,82.28111,1
102.39999,82.22744,1
102.5,81.92851,1
102.6,81.59668,1
102.7,81.31123000000001,1
102.79999000000001,81.05311,1
102.89999,80.73442,1
103.0,80.43543000000001,1
103.1,80.16469000000001,1
103.2,79.89879,1
103.29999000000001,79.58348000000001,1
103.39999,79.30924,1
103.5,79.02368,1
103.6,78.76371999999999,1
103.7,78.46238000000001,1
103.79999000000001,78.17814,1
103.89999,77.92357,1
104.0,77.62575,1
104.0728,77.42623,1
104.1,77.36093000000001,1
104.2,77.07889,1
104.29999000000001,76.8212,1
104.39999,76.50527,1
104.5,76.20594,1
104.6,75.97359,1
104.7,75.68686,1
104.79999000000001,75.40924,1
104.89998999999999,75.13119,1
105.0,74.88555,1
105.1,74.57414,1
105.2,74.30502,1
105.29999,74.06218,1
105.39998999999999,73.78075,1
105.5,73.51585,1
105.6,73.23999,1
105.7,73.0267,1
105.79999,72.73978000000001,1
105.89998999999999,72.44821999999999,1
105.9758,72.25373,1
106.0,72.19888,1
106.1,71.93309,1
106.2,71.6705,1
106.29999,71.39596,1
106.39998999999999,71.1818,1
106.5,70.92997,1
106.6,70.65706,1
106.7,70.41426,1
106.79999,70.17527,1
106.89998999999999,69.90198000000001,1
107.0,69.64367,1
107.1,69.41232,1
107.2,69.18925,1
107.29999,68.92407,1
107.39998999999999,68.68786,1
107.5,68.46905,1
107.6,68.19955,1
107.7,67.94833,1
107.79999,67.70943,1
107.89998999999999,67.50803,1
107.9618,67.36232,1
108.0,67.22641999999999,1
108.1,67.01738,1
108.2,66.75144,1
108.29999,66.54956999999999,1
108.39998999999999,66.2901,1
108.5,66.07211,1
108.6,65.86609,1
108.7,65.60793000000001,1
108.79999,65.36994,1
108.89998999999999,65.12611,1
109.0,64.93864,1
109.1,64.665,1
109.2,64.45586999999999,1
109.29999,64.26037,1
109.39998999999999,64.03525,1
109.5,63.807069999999996,1
109.6,63.54891,1
109.7,63.36796,1
